id,text,keywords,mapped_gri,score,source_file
18061c6e-1ff3-4624-8b41-59671134496c,※  Android OS 업그레이드 및 보안 업데이트의 사용 가능 여부와 시기는 제품과 시장에 따라,"업데이트, 업그레이드, 보안",GRI 418: Customer Privacy,0.85,삼성전자 지속가능경영보고서_2024.pdf
2e604955-d4dc-4ecf-aa1f-3b275f0bb7e4,"원단위 배출량, 용수 사용량 등의 지표를 관리하고 있습니다. 또한 제품 측면에서는 재생원료 사용 비율, 폐전자제품 회수량, 제품 평균 소비 전력량 등의 지표","평균, 전력량, 전자제품",GRI 306: Waste,0.85,삼성전자 지속가능경영보고서_2024.pdf
31fa915d-0856-46c4-a5a7-c4081bfe7a38,"황은 지속가능경영보고서 P.19, P.29~30 및 지속가능경영웹사이트에 공개된 제품환경 관리물질 운영규칙 을 참조하십시오.","보고서, 환경, 웹사이트",,0.85,삼성전자 지속가능경영보고서_2024.pdf
d6da9e02-00c8-44f8-af60-e481b0af5fba,"평가보고서의 대표농도 경로(RCP, Representative Concentration Pathways) 시나리오 및 국제 에너지기구(IEA, International Energy Agency)의","보고서, 국제, 에너지",,0.85,삼성전자 지속가능경영보고서_2024.pdf
e3efdc2c-1973-40ea-b0b5-0c24661faedc,지속할 계획입니다. 또한 사업장 온실가스 배출 감축을 위한 투자와 재생에너지 전환을 적극적으로 이행하고 제품 에너지 효율 개선을 위한 투자도 지속할 계,"온실가스, 지속, 효율",GRI 305: Emissions,0.85,삼성전자 지속가능경영보고서_2024.pdf
7b64e195-08a7-45ed-85cb-0fc0d68a154a,실가스 배출권 규제 대응 비용 및 재생에너지 구매 비용이 증가할 것으로 예상됩니다. 또한 글로벌 기후관련 규제 위반 및 기후변화 대응 미이행에 따른 소비,"기후변화, 기후, 가스",GRI 302: Energy,0.85,삼성전자 지속가능경영보고서_2024.pdf
d4ccefae-a632-428d-a209-30bdfd714b5b,"삼성전자는 기후변화 등 환경과 관련된 사항을 사업운영과 재무적 성과에 직결되는 중요한 분야로 생각하며, 최고 의사결정기구인 이사회에서 이를 관장하고","기후변화, 환경, 전자",GRI 302: Energy,0.85,삼성전자 지속가능경영보고서_2024.pdf
0826b524-2447-439b-be46-4d0afea394f4,1)  당사는 광주광역시청으로부터 2023년 8월 23일 광주사업장에 대한 「대기환경보전법」제31조 (배출시설과 방지시설의 운영) 제2항 위반으로,"환경보전, 광주, 방지",,0.85,삼성전자 지속가능경영보고서_2024.pdf
7a253baa-de24-4d74-bc98-c2ad26f84ba3,"기후변화 대응 전략 수립과 이행 과제 발굴, 투자 집행 등의 주요 사안에 대한 책임과 권한은 CEO에게 있습니다. 또한 실질적인 책임 이행을 위해 경영진의","기후변화, 책임, 전략",GRI 302: Energy,0.85,삼성전자 지속가능경영보고서_2024.pdf
85d353a5-9abf-4335-8a46-a1fa6747cbe0,"‧  개발, 제조, 품질, 환경안전, 구매, 영업·마케팅 중 희망분야 교육 진행, 2023년","마케팅, 품질, 개발",,0.85,삼성전자 지속가능경영보고서_2024.pdf
e4a59904-fc4e-47d3-9733-faa3b02129d4,전력사용량이 많은 반도체 업종에 있어서 온실가스 배출권 가격 및 재생에너지 가격은 사업의 경쟁력과 직결되는 요소입니다. 또한 기후변화 관련 국가별,"기후변화, 온실가스, 경쟁력",GRI 302: Energy,0.85,삼성전자 지속가능경영보고서_2024.pdf
6dc24198-3758-4551-a108-1f97a19da244,"삼성전자는 기후변화 관련 위험과 기회 관리를 위한 기업의 목표와 목표 대비 성과를 지속가능경영보고서, CDP 등을 통해 공개하고 있습니다.","기후변화, 보고서, 위험",GRI 302: Energy,0.85,삼성전자 지속가능경영보고서_2024.pdf
f091575c-921d-4744-a178-e80fc3f70574,품의 매출 비중이 증가할 것으로 예상됩니다. 삼성전자는 이와 같은 시나리오에 대비하기 위해 초저전력 반도체 개발 및 제품 에너지 효율 개선을 위한 투자를,"전력, 증가, 전자",,0.85,삼성전자 지속가능경영보고서_2024.pdf
98bc6b1b-9039-4eec-9ff1-276f76ab070e,간이 인권영향평가(Simplified Human Rights Impact Assessment),"인권, 영향, 평가",GRI 412: Human Rights,0.85,삼성전자 지속가능경영보고서_2024.pdf
d8e2cca0-3a97-4f69-8f09-a9007ea37707,삼성전자 지속가능경영보고서 2024Our CompanyAppendixMateriality AssessmentFacts & Figures PrinciplePlanetPeople환경성과,"삼성, 보고서, 환경성",,0.85,삼성전자 지속가능경영보고서_2024.pdf
e71e2474-387e-4a7d-9539-90abe40e2dfb,"삼성전자는 글로벌 규정(EU RoHS, REACH, TSCA 등)을 준수하고, 국내외 환경 기준을 반영하여 사내 규칙을 제정하여","국내외, 글로벌, 규칙",,0.85,삼성전자 지속가능경영보고서_2024.pdf
41793097-c563-4eef-91fd-e9e65950de97,3)  환경경영시스템 인증(ISO 14001 등) 보유 협력회사 비율 : 협력회사 거래 기본 계약서에 ISO 14001 또는 이와 동등한 표준 준수 요구,"계약서, 협력, 표준",,0.85,삼성전자 지속가능경영보고서_2024.pdf
47956e68-4da8-4297-9201-ad699a3910d3,"있습니다. 삼성전자의 유해물질 관리 현황은 지속가능경영보고서 P.19, P.29~30 및 지속가능경영웹사이트에 공개된 제품환경","보고서, 환경, 웹사이트",,0.85,삼성전자 지속가능경영보고서_2024.pdf
bc0113f1-3d76-4d4c-b715-16271525cec2,"2.4백만 원을 부과받았으며, 납부 완료하였습니다. 당사는 시스템 운영 협력업체 대상 교육 및 보안관련 계약을 강화하여","백만, 계약, 보안",GRI 418: Customer Privacy,0.85,삼성전자 지속가능경영보고서_2024.pdf
